1,2,3,4,5
,,Applied Mechanics,,
,,Biomechanical Engineering,,
,,Computer-Aided Engineering and Design,,
,,Electro-Mechanical Systems,,
,,Energy Systems,,
,,"Engineering Design, Machine Elements, Product Development",,
,,"Heat Transfer, Combustion",,
,,"Lightweight Construction, Textile Technology",,
,,Manufacturing,,
,,Mechanics,,
,,Mechanics and Constructive Mechanical Engineering,,
,,Ocean Engineering,,
,Nanoscience and Nanotechnology,Tribology,,
,Nuclear Engineering,Ergonomics,"Traffic and Transport Systems, Intelligent and Automated Traffic",
,"Operations Research, Systems Engineering and Industrial Engineering",Industrial Engineering,Microsystems,
,Plastics Engineering,Operational Research,Measurement Systems,
,Production Technology,Systems Engineering,"Automation, Control Systems, Robotics, Mechatronics, Cyber Physical Systems",
,,Joining and Separation Technology,Biomedical Systems Technology,
,,Metal-Cutting and Abrasive Manufacturing Engineering,"Human Factors, Ergonomics, Human-Machine Systems",
,,Plastics Engineering,Animal Physiology and Biochemistry,
,,"Primary Shaping and Reshaping Technology, Additive Manufacturing","Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions",
,,Production Automation,"Evolution, Anthropology",
,,"Production Systems, Operations Management, Quality Management and Factory Planning",Sensory and Behavioural Biology,
,"Agriculture, Forestry and Veterinary Medicine","Agricultural Economics, Agricultural Policy, Agricultural Sociology",Systematics and Morphology (Zoology),
,Animal Sciences,"Animal Breeding, Animal Nutrition, Animal Husbandry",Biomolecules,
,,Ecology of Land Use,,
,,"Plant Cultivation, Plant Nutrition, Agricultural Technology",,
,,Veterinary Medical Sciene,,
,,Animal Sciences,,
,,Aquaculture and Fisheries,,
,,Dairy Science,,
,,Poultry (or Avian) Science,,
,"Biochemistry, Biophysics, and Structural Biology",Zoology,,
,,Biochemistry,,
,,Biogeochemistry,,
,,Biophysics,,
,,Molecular Biology,,
,Bioinformatics,Structural Biology,,
,Biology/Integrated Biology/ Integrated Biomedical Sciences,,,
,,Biomechanics,,
,,Exercise Physiology,,
,,Motor Control,,
,,Other Quantitative Biology,,
,,Psychology of Movement,,
,Biotechnology,Quantitative Methods),,
,Cell and Developmental Biology,Anatomy,,
,,Cancer Biology,Cell Behavior,
,,Cell Biology,,
,,Developmental Biology,,
,Ecology and Evolutionary Biology,Behavior and Ethology,,
,,Biogeochemistry,,
,,Botany,,
,,Evolution,,
,,Population Biology,,
,Entomology Food Science,Terrestrial and Aquatic Ecology,,
,,Food Biotechnology,,
,,Food Chemistry,,
,,Food Microbiology,,
,,Food Processing,,
